Team,GP,W,L,AGT,K,D,KD,CKPM,GPR,GSPD,EGR,MLR,GD15,FB%,FT%,F3T%,PPG,HLD%,GRB%,FD%,DRG%,ELD%,FBN%,BN%,LNE%,JNG%,WPM,CWPM,WCPM
DN Freecs,2,0,2,32.1,21,44,0.48,1.01,-1.14,-0.08,37.8,-37.8,-1232,0.5,0.5,0,,0.5,,0.5,0.22,,0,0,0.518,0.44,3.27,1.54,1.5
Dplus KIA,2,2,0,32.1,44,22,2,1.01,1.14,0.08,62.2,37.8,1232,0.5,0.5,1,,0.5,,0.5,0.78,,1,1,0.482,0.56,3.5,1.62,1.38
KT Rolster,2,0,2,39.7,14,33,0.42,0.59,-0.75,-0.087,42.1,-42.1,-1163,0.5,0,0.5,,0.25,,0.5,0.22,0,0.5,0.33,0.52,0.477,3.55,1.59,1.9
T1,2,2,0,39.7,33,14,2.36,0.59,0.75,0.087,57.9,42.1,1163,0.5,1,0.5,,0.75,,0.5,0.78,1,0.5,0.67,0.48,0.523,3.51,1.29,1.7
BRION,2,0,2,34.8,24,34,0.71,0.83,-0.14,-0.078,54.1,-54.1,142,0.5,0,0,,0.75,,0.5,0.4,,0.5,0.5,0.484,0.465,3.33,1.71,1.93
DRX,2,2,0,34.8,34,24,1.42,0.83,0.14,0.078,45.9,54.1,-142,0.5,1,1,,0.25,,0.5,0.6,,0.5,0.5,0.516,0.535,3.74,1.29,1.68
Gen.G,2,2,0,30.3,33,10,3.3,0.71,1.92,0.218,69.5,30.5,1876,1,1,0.5,,0.5,,0.5,0.75,,1,1,0.516,0.554,3.59,1.5,1.77
Hanwha Life Esports,2,0,2,30.3,10,33,0.3,0.71,-1.92,-0.218,30.5,-30.5,-1876,0,0,0.5,,0.5,,0.5,0.25,,0,0,0.484,0.446,3.57,1.36,1.75
BRION,2,0,2,34.6,16,26,0.62,0.61,-2.05,-0.139,22,-22,-2068,0,0,0.5,,0.25,,0,0.3,0,0,0,0.511,0.446,3.51,1.33,2.14
DN Freecs,2,0,2,32.9,15,35,0.43,0.76,-1.74,-0.169,36.5,-36.5,-1454,0.5,0,0,,0.75,,1,0.4,,0,0,0.473,0.397,3.86,1.57,1.71
Dplus KIA,2,2,0,34.6,26,16,1.63,0.61,2.05,0.139,78,22,2068,1,1,0.5,,0.75,,1,0.7,1,1,1,0.489,0.554,4.04,1.58,1.67
Hanwha Life Esports,2,2,0,32.9,35,15,2.33,0.76,1.74,0.169,63.5,36.5,1454,0.5,1,1,,0.25,,0,0.6,,1,1,0.527,0.603,3.64,1.55,2.32
DRX,3,1,2,31.1,26,40,0.65,0.71,-0.39,0.021,40.4,-7,-535,0,0.67,0.33,,0.33,,0.33,0.31,,0.33,0.25,0.517,0.498,3.59,1.23,1.71
KT Rolster,2,0,2,30.3,17,35,0.49,0.86,-1.84,-0.089,13.9,-13.9,-2981,0.5,0,0,,0,,0.5,0.29,,0,0,0.499,0.518,4.29,1.5,1.75
Liiv SANDBOX,2,2,0,30.3,35,17,2.06,0.86,1.84,0.089,86.1,13.9,2981,0.5,1,1,,1,,0.5,0.71,,1,1,0.501,0.482,3.78,1.51,2.02
Nongshim RedForce,3,2,1,31.1,40,26,1.54,0.71,0.39,-0.021,59.6,7,535,1,0.33,0.67,,0.67,,0.67,0.69,,0.67,0.75,0.483,0.502,3.85,1.1,1.8
BRION,2,2,0,30.5,35,12,2.92,0.77,0.15,0.075,45.7,54.3,-917,0.5,0,0.5,,0.33,,1,0.56,,1,1,0.508,0.513,4.04,1.51,1.88
DN Freecs,2,0,2,30.5,12,35,0.34,0.77,-0.15,-0.075,54.3,-54.3,917,0.5,1,0.5,,0.67,,0,0.44,,0,0,0.492,0.487,3.5,1.52,1.59
Gen.G,2,0,2,33.1,10,39,0.26,0.74,-2.79,-0.134,10,-10,-4201,0,0,0,,0.25,,1,0.57,,0.5,0.33,0.514,0.461,3.82,1.78,1.98
T1,2,2,0,33.1,39,10,3.9,0.74,2.79,0.134,90,10,4201,1,1,1,,0.75,,0,0.43,,0.5,0.67,0.486,0.539,3.81,1.43,1.64
Dplus KIA,2,2,0,31.3,46,18,2.56,1.02,1.73,0.242,67.7,32.3,1859,1,0.5,0.5,,0.5,,0.5,0.44,,1,1,0.504,0.55,3.99,1.21,1.44
Hanwha Life Esports,3,2,1,35.7,45,44,1.02,0.83,-1.34,-0.008,32.5,34.1,-1852,0,0.33,0,,0.17,,0.33,0.6,1,0.33,0.6,0.505,0.535,3.9,1.31,1.92
Liiv SANDBOX,3,1,2,35.7,44,45,0.98,0.83,1.34,0.008,67.5,-34.1,1852,1,0.67,1,,0.83,,0.67,0.4,0,0.67,0.4,0.495,0.465,3.59,1.68,1.88
Nongshim RedForce,2,0,2,31.3,18,46,0.39,1.02,-1.73,-0.242,32.3,-32.3,-1859,0,0.5,0.5,,0.5,,0.5,0.56,,0,0,0.496,0.45,3.16,1.18,1.88
Dplus KIA,3,1,2,31.7,21,38,0.55,0.62,-1.1,-0.041,34.1,-0.7,-1063,0.33,0.67,0.33,,0.5,,0,0.38,,0,0,0.495,0.501,4.03,1.48,1.65
